workerid,A,B,percent,read_and_decide_time,quant,read_time_one,response,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""glerb""","""fizzda""",20,1702,"""All""",93,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""thonk""","""krangly""",82,1780,"""Some""",1067,true,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""slarm""","""briddle""",11,2414,"""None""",611,true,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""klong""","""nooty""",62,2468,"""All""",170,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""dring""","""larfy""",28,1488,"""None""",474,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""floom""","""plerful""",92,1176,"""Some""",104,true,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""blek""","""orkital""",54,829,"""None""",505,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""tenk""","""glurgy""",8,934,"""All""",152,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""pirter""","""secent""",34,722,"""More than half""",573,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
0,"""beckel""","""racual""",42,1172,"""Fewer than half""",891,false,"""English""","""1""","""Male""","""37""","""""","""No""","""Yes""","""5""","""3""","""Windows""",1050,1680,"""Firefox""","""3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3OQLHYCQDJR11XSBHC1L737IAQVFDI""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Jun 13 10:48:50 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Fri Jul 13 10:48:50 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3G5RUKN2EC4HW8JS9SAF8W4AH5UN9G""","""3EF8EXOTT1W6BXN6GJ8WP31Y69EJ1R""",0,"""Submitted""","""Thu Jun 14 03:49:40 CEST 2018""","""Wed Jun 13 10:49:15 CEST 2018""","""Wed Jun 13 11:09:40 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""right arrow\""""","""12.27105"""
