workerid,A,percent_2,percent_1,B,read_and_decide_time,quant,read_time_one,response,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""glerb""",80,20,"""fizzda""",20969,"""All""",1079,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""thonk""",18,82,"""krangly""",3588,"""Some""",190,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""slarm""",89,11,"""briddle""",5068,"""None""",160,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""klong""",38,62,"""nooty""",6297,"""All""",207,false,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""dring""",72,28,"""larfy""",1437,"""None""",199,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""floom""",8,92,"""plerful""",4386,"""Some""",272,false,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""blek""",46,54,"""orkital""",2346,"""None""",175,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""tenk""",97,3,"""glurgy""",1787,"""All""",151,false,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""bemble""","""79""","""21""","""squank""",1575,"""More than half""",183,true,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
0,"""ancits""","""2""","""98""","""smeath""",3909,"""Fewer than half""",208,false,"""english""","""1""","""Female""","""56""","""nice""","""Yes""","""Yes""","""4""","""3""","""Windows""",800,1280,"""Chrome""","""3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 02 10:04:54 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Thu Nov 01 09:04:54 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96PCR9PO""","""3PJUZCGDJ6HZGLUITSQYFJA4HZC98J""",0,"""Submitted""","""Wed Oct 03 03:02:26 CEST 2018""","""Tue Oct 02 10:06:27 CEST 2018""","""Tue Oct 02 10:22:26 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.57345"""
