workerid,A,B,percent,read_time_two,quant,read_time_one,decision_time,response,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""glerb""","""fizzda""",20,272,"""All""",168,4430,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""thonk""","""krangly""",82,98,"""Some""",94,5642,"""True""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""slarm""","""briddle""",11,102,"""None""",83,8966,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""klong""","""nooty""",62,320,"""All""",6271,1937,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""chevel""","""podden""",48,873,"""Many""",2459,1928,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""awplor""","""fasees""",70,924,"""Most""",766,1326,"""True""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""mecket""","""plumry""",77,1188,"""Few""",127,1266,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""umpond""","""marire""",23,837,"""Most""",1055,1144,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""puggle""","""entand""",44,871,"""Many""",1341,1361,"""True""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
0,"""shurry""","""preser""",1,660,"""Most""",754,800,"""False""","""English""","""1""","""Male""","""29""","""""","""No""","""Yes""","""5.00""","""1""","""Windows""",720,1280,"""Firefox""","""3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3ES1UQ6TFXNQ5J8KGG3ML6ZWG07MLA""","""Fun psychology / language experiment!""","""You will be asked to judge whether certain sentences are true or false in context.""","""language research fun cognitive science university explanations""","""$3.00""","""Tue May 22 12:18:01 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 left arrow""","""2400""","""60000""","""Thu Jun 21 12:18:01 CEST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7OA6Z9A64Y8S2Y1R9Q72P7""","""3X4MXAO0BGPGAMMMLC6QKKDJ8TLWRB""",0,"""Submitted""","""Wed May 23 05:12:00 CEST 2018""","""Tue May 22 12:18:07 CEST 2018""","""Tue May 22 12:32:00 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""left arrow\""""","""13.722366666666666"""
